collective,num_nodes,num_gpus,size_bytes,algo,proto,nchannels,requested_algo,requested_proto,substituted,time_ip_us,busbw_ip,time_oop_us,busbw_oop,n_repeats,spread_pct,count,data_type,redop,algbw_ip,algbw_oop,errors_ip,errors_oop
all_reduce_perf,1,8,65536,TREE,LL,32,TREE,LL,0,16.85,3.88,6.74,4.54,3,37.804154302670604,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,TREE,LL,40,TREE,LL,0,18.7,3.62,6.63,4.56,3,15.454545454545457,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,TREE,LL,48,TREE,LL,0,19.54,3.61,6.7,4.61,3,12.998976458546569,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,65536,TREE,LL,56,TREE,LL,0,10.54,4.06,6.59,4.56,3,58.25426944971538,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,131072,RING,LL,1,RING,LL,0,18.25,2.25,5.63,2.52,3,37.04109589041094,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,131072,RING,LL,2,RING,LL,0,19.8,3.21,5.83,3.97,3,23.787878787878793,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,131072,RING,LL,4,RING,LL,0,18.35,4.43,5.9,5.75,3,8.719346049046328,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,131072,RING,LL,8,RING,LL,0,19.24,5.54,5.89,7.87,3,45.166320166320176,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,131072,RING,LL,16,RING,LL,0,19.75,5.58,5.95,7.95,3,2.987341772151898,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,131072,RING,LL,24,RING,LL,0,19.55,5.61,6.15,7.98,3,30.741687979539638,1024,float,sum,0.09,0.08,0,0
